too_id,fiber_type,catalogid,sdss_id,gaia_dr3_source_id,twomass_pts_key,sky_brightness_mode,ra,dec,pmra,pmdec,epoch,parallax,lambda_eff,u_mag,g_mag,r_mag,i_mag,z_mag,optical_prov,gaia_bp_mag,gaia_rp_mag,gaia_g_mag,h_mag,delta_ra,delta_dec,can_offset,inertial,n_exposures,priority,active,expiration_date,observed
1,APOGEE,,,,,,322.0416986442334,23.24975582251605,,,,,,15.585603,15.585603,15.585603,15.585603,15.585603,,,,,,,,TRUE,,3,5,TRUE,,FALSE
2,APOGEE,,,,,,23.68915557861328,63.30213928222656,-1.633114,-0.17489335,,0.36345074,,,,,,,,,,14.495427,,,,TRUE,,3,5,TRUE,,FALSE
3,BOSS,,,,,,317.1805114746094,55.043983459472656,,,,,,24.184845,24.713322,21.989498,21.051416,20.573246,,,,,,,,TRUE,,3,5,TRUE,,FALSE
4,APOGEE,,,,,,132.27410888671875,-9.865385056,-4.23959,1.3068857,,0.67415804,,,,,,,,,,15.891865,,,,TRUE,,3,5,TRUE,,FALSE
5,APOGEE,63050395915414228,,5365231850064328448,,,155.5760498046875,-48.36075211,-2.0050094,-0.13202874,,0.08750413,,,,,,,,16.506353,15.171548,15.910943,,,,TRUE,,3,5,TRUE,,FALSE
6,BOSS,,,,,,169.05540466308594,-52.83566284,-5.52803,3.9846888,,0.1719657,,,,,,,,,,15.479938,,,,TRUE,,3,5,TRUE,,FALSE
7,BOSS,,,5965311383454731648,,,256.6919250488281,-43.81571198,-0.5424047,-8.906387,,0.2787155,,,,,,,,14.780168,11.542485,12.839776,,,,TRUE,,3,5,TRUE,,FALSE
8,BOSS,,,,,,196.95848904939584,32.69419873,,,,,,,,,,,,,,19.130697,,,,TRUE,,3,5,TRUE,,FALSE
9,APOGEE,,,,,,277.48980712890625,-27.69761848,-3.9706147,-4.874005,,0.29140338,,,,,,,,,,13.293058,,,,TRUE,,3,5,TRUE,,FALSE
10,BOSS,,,,,,299.55755615234375,37.57545852661133,-3.8028247,-4.152495,,0.3261723,,,,,,,,,,15.098599,,,,TRUE,,3,5,TRUE,,FALSE
11,BOSS,,,,,,93.15349578857422,-19.25577164,36.599873,-16.589447,,4.3919764,,,,,,,,,,10.35252,,,,TRUE,,3,5,TRUE,,FALSE
12,APOGEE,,,,,,310.54254150390625,25.387367248535156,-0.3989932,-6.631391,,0.730015,,,,,,,,,,14.994102,,,,TRUE,,3,5,TRUE,,FALSE
13,BOSS,,,,,,159.85731506347656,49.125877380371094,,,,,,22.56774,22.654528,22.303133,21.762018,22.578901,,,,,,,,TRUE,,3,5,TRUE,,FALSE
14,BOSS,,,,,,153.8815460205078,-50.7372551,-4.761471,-1.8694482,,0.22456343,,,,,,,,,,10.851905,,,,TRUE,,3,5,TRUE,,FALSE
15,BOSS,,,,,,256.1876220703125,-24.69454193,-3.4426248,-5.791844,,0.14846663,,,,,,,,,,15.639607,,,,TRUE,,3,5,TRUE,,FALSE
16,APOGEE,,,,,,215.0206298828125,-76.02481842,-3.730372,0.39429158,,0.6409972,,,,,,,,,,15.404773,,,,TRUE,,3,5,TRUE,,FALSE
17,APOGEE,,,5307277622951462016,,,142.23260498046875,-55.66678619,-6.8612022,4.6453967,,0.32230595,,,,,,,,15.309744,13.527912,14.52157,,,,TRUE,,3,5,TRUE,,FALSE
18,BOSS,,,,,,308.67156982421875,15.523393630981445,,,,,,24.58621,22.972805,22.191853,21.758198,21.754278,,,,,,,,TRUE,,3,5,TRUE,,FALSE
19,APOGEE,63050394989164473,66549526,2045042974273831296,,,291.6852111816406,31.77603530883789,0.904789,-2.865594,,0.52112687,,,,,,,,12.537917,11.1104555,11.885861,,,,TRUE,,3,5,TRUE,,FALSE
20,APOGEE,,,,,,170.94858663689251,-34.57345707,,,,,,11.915108,11.915108,11.915108,11.915108,11.915108,,,,,,,,TRUE,,3,5,TRUE,,FALSE
21,APOGEE,,,,,,78.14626757697934,-2.682986851,,,,,,16.554398,16.554398,16.554398,16.554398,16.554398,,,,,,,,TRUE,,3,5,TRUE,,FALSE
22,BOSS,,,2001035197482775808,,,333.2771911621094,51.086021423339844,-2.0965788,-3.6020296,,0.35497344,,,,,,,,15.874175,15.128165,15.581831,,,,TRUE,,3,5,TRUE,,FALSE
23,APOGEE,,,,,,56.588253021240234,38.966312408447266,,,,,,25.08159,24.84667,23.36787,21.744411,21.132257,,,,,,,,TRUE,,3,5,TRUE,,FALSE
24,BOSS,,,1742053235068416768,,,321.2508544921875,9.103323936462402,-3.0529616,0.23803899,,0.7733791,,,,,,,,10.806388,9.53475,10.244381,,,,TRUE,,3,5,TRUE,,FALSE
25,APOGEE,,,,,,69.86883583429254,20.846097305005415,,,,,,,,,,,,,,18.151804,,,,TRUE,,3,5,TRUE,,FALSE
26,APOGEE,,,6716603796046091776,,,284.6644592285156,-40.99450302,-1.0301181,-2.8249109,,0.7815646,,,,,,,,15.663781,14.705363,15.268626,,,,TRUE,,3,5,TRUE,,FALSE
27,APOGEE,,,,,,218.5586539257018,-61.00860414,,,,,,,,,,,,,,14.880216,,,,TRUE,,3,5,TRUE,,FALSE
28,APOGEE,,,,,,276.3083570237236,38.030768178594315,,,,,,13.817177,13.817177,13.817177,13.817177,13.817177,,,,,,,,TRUE,,3,5,TRUE,,FALSE
29,BOSS,,,,,,268.5023193359375,-46.51083755,-1.439177,-0.6827121,,0.808074,,,,,,,,,,14.737913,,,,TRUE,,3,5,TRUE,,FALSE
30,APOGEE,,,,,,79.98721313476562,48.676029205322266,0.24466822,-0.33668113,,0.046332162,,,,,,,,,,15.952167,,,,TRUE,,3,5,TRUE,,FALSE
31,APOGEE,,,3127786504271326976,,,104.34357452392578,2.7544913291931152,-5.8881636,-5.562531,,0.8718962,,,,,,,,14.502094,13.579643,14.128604,,,,TRUE,,3,5,TRUE,,FALSE
32,BOSS,,,,,,238.6450229418189,50.81510726772382,,,,,,18.554823,18.554823,18.554823,18.554823,18.554823,,,,,,,,TRUE,,3,5,TRUE,,FALSE
33,BOSS,,,,,,269.59552001953125,-38.65961456,0.2304149,-7.2610464,,0.068813905,,,,,,,,,,15.080259,,,,TRUE,,3,5,TRUE,,FALSE
34,BOSS,,,,,,155.76306136118933,-8.817286692,,,,,,,,,,,,,,18.169863,,,,TRUE,,3,5,TRUE,,FALSE
35,APOGEE,,,,,,41.74240226441114,-42.19454252,,,,,,14.061309,14.061309,14.061309,14.061309,14.061309,,,,,,,,TRUE,,3,5,TRUE,,FALSE
36,APOGEE,,,4037234593687633152,,,269.6929626464844,-37.31075668,0.70930505,-5.7936177,,0.11424016,,,,,,,,15.717317,14.081268,14.95381,,,,TRUE,,3,5,TRUE,,FALSE
37,APOGEE,,,5299473014559365888,,,141.96112060546875,-60.26277542,1.2105885,1.8648937,,0.6556,,,,,,,,16.275719,15.278423,15.861832,,,,TRUE,,3,5,TRUE,,FALSE
38,BOSS,,,,,,105.81937408447266,-62.64641953,-3.6946084,11.30163,,0.5535068,,,,,,,,,,15.339528,,,,TRUE,,3,5,TRUE,,FALSE
39,BOSS,,,5986876723494963456,,,233.5907440185547,-47.45285797,-1.7784321,-2.8776402,,0.9295717,,,,,,,,15.873177,14.653904,15.344839,,,,TRUE,,3,5,TRUE,,FALSE
40,BOSS,,,,,,236.2151641845703,-20.06913757,-5.8280187,0.5509816,,1.7827637,,,,,,,,,,13.432687,,,,TRUE,,3,5,TRUE,,FALSE
41,BOSS,,,,,,308.5747734159112,77.10158798805043,,,,,,,,,,,,,,18.773153,,,,TRUE,,3,5,TRUE,,FALSE
42,BOSS,,,,,,302.7796630859375,9.683060646057129,,,,,,22.639591,20.251524,19.327724,18.93538,18.822897,,,,,,,,TRUE,,3,5,TRUE,,FALSE
43,BOSS,,,,,,262.0460510253906,-31.9094677,-0.70829743,2.5190108,,0.56842405,,,,,,,,,,14.435419,,,,TRUE,,3,5,TRUE,,FALSE
